Date,Close
2024-01-01,99.54
2024-01-02,99.82
2024-01-03,101.13
2024-01-04,101.9
2024-01-05,100.16
2024-01-08,103.51
2024-01-09,103.58
2024-01-10,103.52
2024-01-11,103.69
2024-01-12,99.63
2024-01-15,102.52
2024-01-16,107.53
2024-01-17,107.71
2024-01-18,102.76
2024-01-19,107.73
2024-01-22,107.62
2024-01-23,108.15
2024-01-24,108.51
2024-01-25,105.57
2024-01-26,107.2
2024-01-29,107.48
2024-01-30,106.3
2024-01-31,107.2
2024-02-01,108.26
2024-02-02,111.25
2024-02-05,111.36
2024-02-06,114.67
2024-02-07,115.32
2024-02-08,113.26
2024-02-09,113.49
2024-02-12,113.89
2024-02-13,109.4
2024-02-14,110.1
2024-02-15,110.16
2024-02-16,108.74
2024-02-19,111.92
2024-02-20,114.64
2024-02-21,115.78
2024-02-22,114.33
2024-02-23,115.21
2024-02-26,113.23
2024-02-27,111.63
2024-02-28,110.49
2024-02-29,112.03
2024-03-01,113.82
2024-03-04,113.51
2024-03-05,116.12
2024-03-06,120.6
2024-03-07,116.67
2024-03-08,115.84
2024-03-11,117.68
2024-03-12,115.73
2024-03-13,115.34
2024-03-14,118.44
2024-03-15,122.88
2024-03-18,123.49
2024-03-19,123.01
2024-03-20,124.73
2024-03-21,124.66
2024-03-22,127.19
2024-03-25,130.23
2024-03-26,132.05
2024-03-27,134.07
2024-03-28,131.83
2024-03-29,129.92
2024-04-01,130.5
2024-04-02,131.73
2024-04-03,135.6
2024-04-04,133.0
2024-04-05,130.19
2024-04-08,129.3
2024-04-09,127.94
2024-04-10,127.71
2024-04-11,128.87
2024-04-12,126.31
2024-04-15,121.82
2024-04-16,121.04
2024-04-17,121.38
2024-04-18,120.28
2024-04-19,121.24
2024-04-22,124.41
2024-04-23,125.08
2024-04-24,126.86
2024-04-25,124.79
2024-04-26,125.24
2024-04-29,124.16
2024-04-30,128.95
2024-05-01,127.88
2024-05-02,127.9
2024-05-03,125.02
2024-05-06,124.71
2024-05-07,126.94
2024-05-08,122.44
2024-05-09,122.58
2024-05-10,123.78
2024-05-13,123.39
2024-05-14,127.79
2024-05-15,129.21
2024-05-16,132.2
2024-05-17,135.01
2024-05-20,136.58
2024-05-21,136.53
2024-05-22,135.55
2024-05-23,135.67
2024-05-24,135.94
2024-05-27,136.63
2024-05-28,136.78
2024-05-29,137.14
2024-05-30,141.79
2024-05-31,137.97
2024-06-03,136.31
2024-06-04,135.04
2024-06-05,132.66
2024-06-06,126.98
2024-06-07,127.1
2024-06-10,129.92
2024-06-11,131.29
2024-06-12,130.53
2024-06-13,132.18
2024-06-14,127.43
2024-06-17,127.71
2024-06-18,125.94
2024-06-19,127.43
2024-06-20,132.21
2024-06-21,134.54
2024-06-24,134.9
2024-06-25,138.47
2024-06-26,139.35
2024-06-27,142.86
2024-06-28,143.59
2024-07-01,141.15
2024-07-02,140.02
2024-07-03,141.68
2024-07-04,144.96
2024-07-05,147.21
2024-07-08,150.7
2024-07-09,154.52
2024-07-10,149.02
2024-07-11,151.91
2024-07-12,152.59
2024-07-15,152.45
2024-07-16,154.82
2024-07-17,150.58
2024-07-18,151.92
2024-07-19,158.85
2024-07-22,157.58
2024-07-23,154.04
2024-07-24,153.0
2024-07-25,156.43
2024-07-26,159.18
2024-07-29,157.69
2024-07-30,154.94
2024-07-31,157.18
2024-08-01,162.12
2024-08-02,170.79
2024-08-05,170.97
2024-08-06,181.81
2024-08-07,185.71
2024-08-08,184.34
2024-08-09,186.66
2024-08-12,189.57
2024-08-13,192.8
2024-08-14,190.31
2024-08-15,193.83
2024-08-16,188.44
2024-08-19,186.89
2024-08-20,195.1
2024-08-21,202.24
2024-08-22,201.99
2024-08-23,195.63
2024-08-26,196.42
2024-08-27,197.55
2024-08-28,200.68
2024-08-29,199.35
2024-08-30,198.57
2024-09-02,201.43
2024-09-03,202.83
2024-09-04,210.45
2024-09-05,213.17
2024-09-06,205.06
2024-09-09,211.57
2024-09-10,202.3
2024-09-11,198.33
2024-09-12,194.96
2024-09-13,197.44
2024-09-16,195.79
2024-09-17,195.04
2024-09-18,198.34
2024-09-19,199.05
2024-09-20,197.53
